scenario_id,initial_allele_frequency,temperature_rate,selection_strength,food_availability,migration_rate,population_size,generations,final_temperature_anomaly,simulation_replicates,final_allele_frequency,final_population_size,extinction_probability
0,0.5485505525324954,0.020871772909338247,0.30475133437164237,0.8032892188885865,0.018835469577529906,190,168,3.5064578487688256,3,0.990049751243781,67.0,0.0
1,0.5399636003335364,0.035800765126909016,0.07099636245617467,0.6427508596321186,0.07415960484651625,124,163,5.835524715686169,3,,0.6666666666666666,1.0
2,0.46138963045404524,0.03737874937064569,0.17189254362474593,0.497705169160105,0.11091695740316697,259,76,2.8407849521690727,3,0.9250936329588016,89.0,0.0
3,0.58451288523503,0.02916156916224879,0.27258807682731956,0.5804418792844144,0.19413960487898066,175,160,4.6658510659598065,3,0.9108527131782945,43.0,0.0
4,0.5515169430394204,0.010369464437634606,0.1793507211926509,0.3784724477616987,0.03085789841350957,231,138,1.4309860923935755,3,0.9324324324324325,111.0,0.0
5,0.5289906444582374,0.04360291849467103,0.13426411460420862,0.5907988089226648,0.09391116225516159,241,89,3.8806597460257217,3,0.65,24.0,0.6666666666666666
6,0.11704740857476599,0.022455311827715152,0.1026109916962829,0.7853790965436317,0.08743038377446616,120,154,3.4581180214681333,3,,1.0,1.0
7,0.49917761834150687,0.015431765579427765,0.29632313644646435,0.8730968323729212,0.07749567580603489,261,99,1.5277447923633487,3,0.901010101010101,165.0,0.0
8,0.48727198766323354,0.008009356795200321,0.09397062479203465,0.3547854753381536,0.15738487550042768,239,137,1.097281880942444,3,0.6744186046511628,129.0,0.0
9,0.5024608036796445,0.03557134833394462,0.17685304817226877,0.7196817773693809,0.02795939962553149,136,81,2.881279215049514,3,0.9937106918238993,53.0,0.0
10,0.477829984399616,0.022257136864154696,0.2108755540739804,0.8472492573204167,0.12694366400011817,197,125,2.782142108019337,3,0.9206349206349206,84.0,0.0
11,0.404668797699427,0.015069854216692323,0.03986170706174061,0.6338663030010355,0.04291693456390584,142,111,1.6727538180528478,3,0.8198198198198199,74.0,0.0
12,0.6017800590896712,0.012059397892209651,0.04865687734050112,0.5328995298142978,0.05871875155333672,172,136,1.6400781133405125,3,0.8215686274509805,85.0,0.0
13,0.4032115420686565,0.03570762299157578,0.24258033290476397,0.6141514599360458,0.16280407693320695,151,86,3.070855577275517,3,0.9025157232704403,53.0,0.0
14,0.04521708899968652,0.0058720580133525945,0.261154992190864,0.6502201996634018,0.03225435580672036,262,120,0.7046469616023113,3,0.893719806763285,207.0,0.0
15,0.13204910881782284,0.03194177612834265,0.1727700081836898,0.5976637969627137,0.06030241782957531,220,133,4.248256225069572,3,0.9777777777777777,60.0,0.0
16,0.27241444907077156,0.005768946530592343,0.06776188867856489,0.9752334819571844,0.18171613814152143,184,140,0.8076525142829281,3,0.4839357429718876,166.0,0.0
17,0.2081328741778781,0.04367458422595213,0.27920028926905427,0.8159786229533471,0.08987230042875774,230,97,4.236434669917356,3,0.931924882629108,71.0,0.0
18,0.09458194464284451,0.04081190305138519,0.17584841274675553,0.4815361871168997,0.061191324830130504,244,128,5.2239235905773045,3,,1.0,1.0
19,0.14843776456928523,0.03883441421597215,0.2727262495472672,0.8176509213681089,0.08641860795502075,148,133,5.164977090724296,3,0.9444444444444443,39.0,0.0
20,0.4213456391715328,0.02994340386685726,0.057022182764764506,0.6202748114108962,0.008322834772378496,124,119,3.563265060156014,3,,0.6666666666666666,1.0
21,0.2510070122629661,0.008214540121240017,0.06308894967121652,0.7319689719155128,0.03411859370737722,147,163,1.338970039762123,3,0.8405797101449276,92.0,0.0
22,0.41931096359926456,0.016915401594997992,0.21909295727405334,0.36482251616930333,0.19171184264828908,169,118,1.9960173882097632,3,0.8737373737373737,66.0,0.0
23,0.5544326022576918,0.005557389996664858,0.1857306658682113,0.6689595463304385,0.18756529099499658,120,127,0.7057885295764369,3,0.5989583333333334,96.0,0.0
24,0.347237898708159,0.013479953512951424,0.1361020791496167,0.6884370616064995,0.08778229206100935,144,72,0.9705566529325025,3,0.7200647249190939,103.0,0.0
25,0.5836155892102197,0.04053491318910997,0.07487970847955544,0.7101234933003822,0.021715148227088713,217,137,5.553283106908066,3,,1.0,1.0
26,0.21842663517213556,0.030355173291751775,0.2626382765718024,0.8496208697464771,0.021548189191179314,207,162,4.9175380732637874,3,0.9885057471264368,58.0,0.0
27,0.18424337389957013,0.0036087399155757304,0.20755279020527465,0.5910994845105851,0.16595794862648264,177,151,0.5449197272519353,3,0.5952380952380952,147.0,0.0
28,0.24248305819121926,0.042974673987999035,0.12309370820483795,0.6847871340006144,0.051193018113520554,279,164,7.047846534031842,3,,0.6666666666666666,1.0
29,0.14028723777995214,0.003931156633870146,0.16923105920097212,0.9950441166362941,0.1783354532509828,107,145,0.5700177119111712,3,0.6085626911314984,109.0,0.0
30,0.6268309688886116,0.040418205507008115,0.19603467532366367,0.5553538836900154,0.15440248642219762,154,136,5.496875948953104,3,,1.0,1.0
31,0.28035067834538574,0.006062066726645156,0.26897267563168825,0.520599335349862,0.18736263010675586,271,94,0.5698342723046447,3,0.5919811320754716,212.0,0.0
32,0.11224781471569563,0.037737844901370964,0.07905098131983809,0.4665244003025304,0.11987655830416871,227,158,5.962579494416612,3,,0.6666666666666666,1.0
33,0.16161122602876404,0.015343917934704075,0.2787695482371768,0.9816871769396288,0.10014823724046847,172,84,1.2888891065151422,3,0.8690476190476191,126.0,0.0
34,0.039337312764495036,0.011875209289950775,0.07218310969168673,0.7904781378483574,0.024366500925706226,146,121,1.4369003240840437,3,0.8827838827838828,91.0,0.0
35,0.49515583188073387,0.0269880141964988,0.09392820853121843,0.8726809420184708,0.14308142592316034,106,144,3.8862740442958272,3,,0.6666666666666666,1.0
36,0.11780869354339987,0.007321413556964818,0.32682001632208235,0.6084258259862114,0.060189738356187954,115,119,0.8712482132788133,3,0.8292181069958847,81.0,0.0
37,0.4741190225516002,0.043091800053019706,0.12166279260225758,0.9511254790528176,0.004971898277251263,204,126,5.429566806680483,3,,1.0,1.0
38,0.454763324826327,0.006553588361282391,0.07490867106045204,0.6224243075555975,0.19324638242863634,121,130,0.8519664869667108,3,0.47126436781609193,87.0,0.0
39,0.6551255584721415,0.03658751937135774,0.17956211249769327,0.8600962420139219,0.003567356795397547,216,81,2.963589069079977,3,1.0,90.0,0.0
40,0.5857171719714334,0.036263134797981954,0.10444503742925877,0.6950002338893848,0.12120316414000219,268,157,5.693312163283167,3,,1.0,1.0
41,0.43408179541694614,0.01974057747876825,0.14973889389029843,0.6268233561427814,0.13038620511599483,273,157,3.0992706641666152,3,0.9322916666666666,96.0,0.0
42,0.3341109109911208,0.012657101206908399,0.10573195615922595,0.8349092821582402,0.1633137526847821,273,80,1.012568096552672,3,0.641826923076923,208.0,0.0
43,0.07459443415996936,0.027560647541527428,0.07677543814166343,0.8860317237966219,0.06206693478481489,266,84,2.315094393488304,3,0.9633838383838383,132.0,0.0
44,0.6470502165665916,0.009117864077616961,0.12111042634813936,0.4498487068748381,0.023098012733070994,193,72,0.6564862135884212,3,0.6666666666666666,138.0,0.0
45,0.06711492414005427,0.009509583250241666,0.04708221844069612,0.7342434804721313,0.13614290535990128,243,109,1.0365445742763417,3,0.5982658959537571,173.0,0.0
46,0.2430540349578731,0.02369462819195589,0.31000158151507473,0.9032355574344338,0.00869501240255839,184,88,2.0851272808921184,3,1.0,99.0,0.0
47,0.18861906363994532,0.012723665760785107,0.21279444855768723,0.6205705767070749,0.009850823985518798,91,107,1.3614322364040066,3,1.0,53.0,0.0
48,0.38091447564081693,0.0063718918248597866,0.2967067372123391,0.3837752132023177,0.18496837380361242,221,80,0.5097513459887829,3,0.6206543967280164,163.0,0.0
49,0.5951952175704943,0.04081408518888753,0.3434626177877096,0.8713168221778358,0.15589550815426578,209,134,5.469087415310929,3,0.9228395061728395,54.0,0.0
50,0.5519275575673463,0.007785744961765324,0.2015417715032439,0.6842448656237694,0.1715144288245115,249,116,0.9031464155647776,3,0.6785063752276868,183.0,0.0
51,0.28800996238723675,0.02950122066319573,0.11526826160027073,0.44084946712007195,0.09557545480474916,121,112,3.304136714277922,3,,1.0,1.0
52,0.18582186015434535,0.0178030078349505,0.14724558394439916,0.5628721168681545,0.0758928159453858,124,139,2.4746180890581195,3,0.9523809523809524,49.0,0.0
53,0.22890723796276113,0.04280089084875963,0.32323136625221693,0.662591778395051,0.06567224100093776,177,124,5.307310465246195,3,0.9722222222222222,42.0,0.0
54,0.5985355274783284,0.030061255644084385,0.2874053849430648,0.6962694794427311,0.12658352585352414,103,99,2.976064308764354,3,0.9429824561403509,38.0,0.0
55,0.5223784187478948,0.010703397504405888,0.2523354012219194,0.9094673944118311,0.026420567460308787,271,132,1.4128484705815774,3,0.9624542124542125,182.0,0.0
56,0.09371415131405618,0.033205772015671355,0.05703783002352647,0.9583608847554069,0.027481586007560434,273,166,5.512158154601445,3,,0.3333333333333333,1.0
57,0.5665923979770148,0.027528326192053226,0.280439713481455,0.8668246453390058,0.18920541256346607,107,95,2.6151909882450566,3,0.8888888888888888,48.0,0.0
58,0.4253508498900671,0.006087115495269252,0.22717302400771877,0.4613393476603127,0.11299012229448838,91,127,0.773063667899195,3,0.8087431693989071,61.0,0.0
59,0.3422100524974223,0.024473166347064278,0.27445548480210813,0.8695090657328433,0.09843064311508583,135,130,3.181511625118356,3,0.949685534591195,53.0,0.0
60,0.6539282779123682,0.007148544305548281,0.06747314108803536,0.40701085774199947,0.13157265700810558,229,112,0.8006369622214075,3,0.5975056689342404,147.0,0.0
61,0.548795348815035,0.030862950772269478,0.1367640826650362,0.9339382557849982,0.15250642941413048,211,97,2.9937062249101394,3,0.9296296296296296,90.0,0.0
62,0.2740086519072762,0.015520919148783303,0.08043572755999988,0.44605919215242457,0.18722549267514882,196,114,1.7693847829612965,3,0.6704545454545454,88.0,0.0
63,0.28682428126086457,0.03337648547312725,0.20695778088092795,0.9584909914450005,0.15606029878187844,207,118,3.9384252858290156,3,0.91324200913242,73.0,0.0
64,0.2821608472321535,0.04442515643174585,0.2596832755211659,0.9682765290024967,0.023695715443408275,141,155,6.885899246920607,3,1.0,32.0,0.0
65,0.4568395022741091,0.0072426321684098405,0.21824255999015058,0.7959626373185418,0.002460537177720568,108,115,0.8329026993671317,3,0.9674329501915708,87.0,0.0
66,0.5830176725015351,0.014700438089795863,0.17673538617553633,0.6375041825941306,0.06038547828849832,188,162,2.3814709705469297,3,0.9683544303797468,79.0,0.0
67,0.5534670037391156,0.006755301672832751,0.3490510905080233,0.9214800158000344,0.0567816875728078,238,154,1.0403164576162438,3,0.8966131907308378,187.0,0.0
68,0.10130108635382651,0.04496150341039226,0.24301911555409178,0.772581260113218,0.01808814539682655,220,160,7.193840545662762,3,1.0,29.0,0.3333333333333333
69,0.04942966714699451,0.012355606495769321,0.0757670000533232,0.854899161449942,0.03964084544257958,92,161,1.9892526458188606,3,0.9659863945578232,49.0,0.0
70,0.46970025634941837,0.0035549965512719373,0.03173754692118415,0.3835776460593593,0.12118503552954554,277,150,0.5332494826907906,3,0.560530679933665,201.0,0.0
